,0,1,2,3,4
0,6,3,0.5,0.20278275804046483,0.00412762210031685
3,6,3,0.6500000000000001,0.09615595262545355,0.01067062987327374
6,6,3,0.8000000000000003,0.12557093668751318,0.004262307166635841
9,6,4,0.6000000000000001,0.19931271477663232,0.029457076085442308
10,6,4,0.6500000000000001,0.2308387361204263,0.0156778066224437
11,6,4,0.7000000000000002,0.19399547072144938,0.011177955421005555
14,6,5,0.5,0.2695564423650292,0.010847684417835358
12,6,4,0.7500000000000002,0.08728940783986655,0.022362646424347574
8,6,4,0.55,0.34328252392768527,0.03814817177076131
15,6,5,0.55,0.25208030962747946,0.02619165527413531
16,6,5,0.6000000000000001,0.11319588819588819,0.04665009156838812
17,6,5,0.6500000000000001,0.28276500132170235,0.026026314114082436
18,6,5,0.7000000000000002,0.28276500132170235,0.026026314114082436
13,6,4,0.8000000000000003,0.1321692993255076,0.004645464131502188
19,6,5,0.7500000000000002,0.2708910289624614,0.023552513029257427
20,6,5,0.8000000000000003,0.1887583316154745,0.012458959824347521
21,7,3,0.5,0.10304728546409808,-0.0002681941018841171
22,7,3,0.55,0.10382978723404256,0.00017483971570666658
24,7,3,0.6500000000000001,0.06409176510871427,0.0014041669719481354
26,7,3,0.7500000000000002,0.09671061762664818,0.0015932696261519114
23,7,3,0.6000000000000001,0.10382978723404256,0.00017483971570666658
29,7,4,0.55,0.32592305455955034,0.036206712386150995
25,7,3,0.7000000000000002,0.06409176510871427,0.0014041669719481354
27,7,3,0.8000000000000003,0.08879866526318804,0.0030262146193833195
30,7,4,0.6000000000000001,0.32592305455955034,0.036206712386150995
28,7,4,0.5,0.31605093256814915,0.022754390481373427
32,7,4,0.7000000000000002,0.10556176255949574,0.03526852198093177
33,7,4,0.7500000000000002,0.1832591109120135,0.009674519413952098
35,7,5,0.5,0.2602305625309896,0.11077540264515791
31,7,4,0.6500000000000001,0.3106592972759573,0.031481415765342975
37,7,5,0.6000000000000001,0.2605740583102788,0.027232170890173022
38,7,5,0.6500000000000001,0.28128337525927893,0.025725071467112
34,7,4,0.8000000000000003,0.1751824817518248,0.008862452605316193
