,0,1,2,3,4
2,20,10,0.30000000000000004,0.5413872626033776,0.35952779504914684
3,20,10,0.4,0.46019857987328744,0.19041408368076496
0,20,10,0.1,0.31272238111964534,0.24645099733394718
1,20,10,0.2,0.5400703800983555,0.5012900955197445
8,25,12,0.1,0.3403991617974614,0.24672114405331477
10,25,12,0.30000000000000004,0.575956372576385,0.38982553572729134
11,25,12,0.4,0.5301514377930328,0.2659374348976508
4,20,15,0.1,0.22946713435447347,0.21144077163056157
9,25,12,0.2,0.6238365507898987,0.5252553485078044
7,20,15,0.4,0.6181489708868259,0.3820561700563694
5,20,15,0.2,0.6453978911313042,0.6011127800620416
13,25,17,0.2,0.6493560910221435,0.6122759878897605
23,30,15,0.4,0.5439110355315042,0.3487088968527522
14,25,17,0.30000000000000004,0.6008662679247502,0.4976626712341308
22,30,15,0.30000000000000004,0.5574283106102486,0.4196364390658834
6,20,15,0.30000000000000004,0.6051501079408809,0.4615778950178579
20,30,15,0.1,0.23292287149012564,0.2125693725187594
15,25,17,0.4,0.6216460585200008,0.3774338088995517
12,25,17,0.1,0.3068885080955214,0.281521313371702
21,30,15,0.2,0.6556499289368214,0.6034303243647787
32,35,17,0.1,0.3099361227326063,0.28595072542114464
35,35,17,0.4,0.5528268946589474,0.3542885926760083
24,30,20,0.1,0.13739693767738914,0.05016416821326746
33,35,17,0.2,0.6089266735918115,0.5638773836909815
34,35,17,0.30000000000000004,0.5892242176168028,0.5081104844656085
16,25,22,0.1,0.13691654573027998,0.04992189297414672
27,30,20,0.4,0.6178987876684574,0.4086830850672081
26,30,20,0.30000000000000004,0.5699948307235927,0.48933397173904253
39,35,22,0.4,0.5911493686989694,0.3891217893440973
25,30,20,0.2,0.46205530600383166,0.4907398310488111
18,25,22,0.30000000000000004,0.5337765038218174,0.4833302297736656
17,25,22,0.2,0.4649215619324823,0.4882705869245647
48,40,20,0.1,0.13731484282739456,0.05256032908109814
49,40,20,0.2,0.4715908540500763,0.4952276150536125
19,25,22,0.4,0.6619544999208947,0.4218207779116574
37,35,22,0.2,0.45203593634594524,0.49180857017617163
31,30,25,0.4,0.49034900430184564,0.37909504601378224
38,35,22,0.30000000000000004,0.5332490638969285,0.48699483911829294
29,30,25,0.2,0.4635567539214684,0.4565812442086559
28,30,25,0.1,0.1307315488243281,0.05063077420747751
36,35,22,0.1,0.22685027422451126,0.10530510527842858
30,30,25,0.30000000000000004,0.5455115343615969,0.45925745491573094
50,40,20,0.30000000000000004,0.5716583553593498,0.5041008296781251
51,40,20,0.4,0.5657529253590714,0.4487168838583844
43,35,27,0.4,0.5451150634362458,0.4303035622777692
41,35,27,0.2,0.5317457399588152,0.484775904278321
