,0,1,2,3,4
4,20,15,0.91,0.7209358454607451,0.646855021870839
0,20,15,0.89,0.6711270654067709,0.6512519898430494
5,20,15,0.915,0.7072136091572527,0.5762952796954887
1,20,15,0.895,0.6427614574530441,0.6277878167996885
3,20,15,0.905,0.7209358454607451,0.646855021870839
2,20,15,0.9,0.7465438662935288,0.6774070754688841
7,20,15,0.925,0.7838482735293316,0.5452735927385529
8,20,15,0.93,0.7751654771030613,0.5020681636432828
6,20,15,0.92,0.7032356769276886,0.5584093357595538
10,20,15,0.9400000000000001,0.7144165205877118,0.333544543269677
12,20,15,0.9500000000000001,0.4869382990998184,0.2546766373042537
9,20,15,0.935,0.7328406173629356,0.36812590439845555
14,20,15,0.9600000000000001,0.521410877823431,0.195226924372974
16,20,15,0.9700000000000001,0.5096956202751352,0.1822406244631617
11,20,15,0.9450000000000001,0.650303564630047,0.36043811438982615
17,20,15,0.9750000000000001,0.5357974507368898,0.14134189854464835
13,20,15,0.9550000000000001,0.47772064851788665,0.24161557489078506
18,20,15,0.9800000000000001,0.5357974507368898,0.14134189854464835
15,20,15,0.9650000000000001,0.5096956202751352,0.1822406244631617
20,20,15,0.9900000000000001,0.5142078993755663,0.13448818583665298
19,20,15,0.9850000000000001,0.5199837098932423,0.13607981126042618
21,20,15,0.9950000000000001,0.5091569107887486,0.13420449076120203
