,0,1,2,3,4
0,20,10,0.1,0.26491944307573506,0.37777452755864327
1,20,10,0.2,0.6634071508634639,0.5532020968905444
2,20,10,0.30000000000000004,0.5456264104718329,0.30121747871045995
6,20,15,0.30000000000000004,0.5947280450330878,0.39774954686748587
11,25,12,0.4,0.502778216485539,0.22363868635923945
3,20,10,0.4,0.4428006043231162,0.10100497943287878
10,25,12,0.30000000000000004,0.6774240677223465,0.274704984270984
4,20,15,0.1,0.48650617219687986,0.47982088190153727
5,20,15,0.2,0.64938249198758,0.5288983534489738
8,25,12,0.1,0.5757300427666393,0.6440963336997468
9,25,12,0.2,0.7257322418830172,0.6308966503569291
7,20,15,0.4,0.5590965660906905,0.2318898168783253
20,30,15,0.1,0.4630610042033741,0.5378337161281415
23,30,15,0.4,0.5497747501383147,0.22558219039213287
22,30,15,0.30000000000000004,0.6514323453304978,0.2884778581490869
21,30,15,0.2,0.6817430998827778,0.6813750225609626
35,35,17,0.4,0.6171041385643965,0.23106356376656428
15,25,17,0.4,0.5972586514778584,0.18620099828910217
18,25,22,0.30000000000000004,0.6351769230366401,0.47606187315219867
33,35,17,0.2,0.745765347086297,0.5793121787669555
24,30,20,0.1,0.6924004474040777,0.6948310424579911
34,35,17,0.30000000000000004,0.654379329177695,0.3207563812926927
25,30,20,0.2,0.6580730949890069,0.6146844490860164
32,35,17,0.1,0.5726242989678628,0.6329949714216715
16,25,22,0.1,0.693107018700897,0.6952315381138614
17,25,22,0.2,0.8219016213189904,0.666059792642421
36,35,22,0.1,0.39070487650814,0.35610705784799884
49,40,20,0.2,0.8390020959713104,0.6973713230337659
27,30,20,0.4,0.6695265434229979,0.23619011765036926
28,30,25,0.1,0.47485520880157817,0.5098959891213225
37,35,22,0.2,0.7434270146669062,0.5985489389679113
38,35,22,0.30000000000000004,0.6700385523773489,0.3699798096826656
31,30,25,0.4,0.5613605370353278,0.2577968313499277
39,35,22,0.4,0.6446381427891994,0.3002066339586896
48,40,20,0.1,0.5846510851076485,0.5853194699338757
43,35,27,0.4,0.648609936238045,0.33235468651885725
41,35,27,0.2,0.8386018639655913,0.7104361426814819
40,35,27,0.1,0.3888166208509071,0.35484344820881
42,35,27,0.30000000000000004,0.7270499746172241,0.5173520782559822
50,40,20,0.30000000000000004,0.7588790731960304,0.4459429499663889
51,40,20,0.4,0.7052105868006882,0.3352697136952759
47,35,32,0.4,0.6426565492155872,0.3220996308089863
44,35,32,0.1,0.3151093288516754,0.18556435618563238
46,35,32,0.30000000000000004,0.720905454344054,0.506574091204944
54,40,25,0.30000000000000004,0.702942234915822,0.41372498602614816
45,35,32,0.2,0.8116101027247506,0.6652993351789533
52,40,25,0.1,0.579361160638353,0.5786473117024988
66,45,22,0.30000000000000004,0.7718388803433814,0.5039422576993775
53,40,25,0.2,0.8015125994226187,0.6202199247849044
55,40,25,0.4,0.7140869531856849,0.36798010657348673
65,45,22,0.2,0.7354013535132744,0.645107075335852
64,45,22,0.1,0.4764247918065722,0.5103489880716789
57,40,30,0.2,0.8161100641009577,0.6711825321472163
67,45,22,0.4,0.7097074133144222,0.33762570872215847
58,40,30,0.30000000000000004,0.7545997634167154,0.509254117693493
59,40,30,0.4,0.7187111988341939,0.38919923605091916
56,40,30,0.1,0.25958115762707346,0.381971943967196
68,45,27,0.1,0.11814835617268245,0.04544766300729582
60,40,35,0.1,0.4544785305803966,0.5595795214204382
71,45,27,0.4,0.7315899354204315,0.45842962580969593
70,45,27,0.30000000000000004,0.7845011932016958,0.5800642619971623
69,45,27,0.2,0.7853773413077301,0.7222711717190278
63,40,35,0.4,0.737508819685572,0.4382077326247516
62,40,35,0.30000000000000004,0.7863472487099388,0.5584901077968498
61,40,35,0.2,0.8345342055286905,0.699558675505725
84,50,25,0.1,0.11819098163928711,0.045439740046475864
74,45,32,0.30000000000000004,0.781221125891154,0.5801335574234817
72,45,32,0.1,0.19455514253753375,0.1699758849501023
73,45,32,0.2,0.7802406434542697,0.7122225875455748
75,45,32,0.4,0.7425159472633664,0.4179715835932385
85,50,25,0.2,0.8369093590722656,0.6956965439130608
86,50,25,0.30000000000000004,0.7873585199552564,0.5881057816338627
87,50,25,0.4,0.6605895176705364,0.45752422261701137
76,45,37,0.1,0.18763123063773368,0.16083808059125537
79,45,37,0.4,0.7771685955496493,0.531433935935769
78,45,37,0.30000000000000004,0.7865622040369271,0.5690185752751421
88,50,30,0.1,0.11805274641658489,0.04535490224609218
77,45,37,0.2,0.8759534319851907,0.7471605492496431
89,50,30,0.2,0.7831606009940697,0.7171057889206506
81,45,42,0.2,0.7755207152887986,0.7023900750291192
90,50,30,0.30000000000000004,0.7849506661129968,0.5870692066736133
91,50,30,0.4,0.7317695038612464,0.46285979427733626
80,45,42,0.1,0.11762939560572193,0.0453466760766415
82,45,42,0.30000000000000004,0.8046807282625348,0.6345659362459422
83,45,42,0.4,0.7508160347244001,0.46890086538328724
93,50,35,0.2,0.874533904503053,0.7451249150968156
92,50,35,0.1,0.257102568283976,0.3723320191340208
105,55,27,0.2,0.7826275636673905,0.7161298325422462
94,50,35,0.30000000000000004,0.7922821135349744,0.5930081146702992
104,55,27,0.1,0.19515002062226858,0.17040039941259522
95,50,35,0.4,0.750606013949754,0.4650817923964844
107,55,27,0.4,0.7624419269040564,0.5256036444971012
96,50,40,0.1,0.1876072924708872,0.16056065171256742
106,55,27,0.30000000000000004,0.7921257474589963,0.6087985409729991
97,50,40,0.2,0.8711984107301277,0.7387374398510262
109,55,32,0.2,0.6728698175062006,0.6569254136127212
101,50,45,0.2,0.7791235643683634,0.708652822655595
99,50,40,0.4,0.7496938575271384,0.46585218598776523
108,55,32,0.1,0.17479018387489503,0.2319696289963694
103,50,45,0.4,0.7480837343150816,0.5087363984483123
98,50,40,0.30000000000000004,0.7891959015309385,0.5877553346348724
110,55,32,0.30000000000000004,0.7896459933720537,0.6060819001488915
102,50,45,0.30000000000000004,0.7863713231900546,0.6145544504532175
111,55,32,0.4,0.747424870795318,0.48632846722832446
100,50,45,0.1,0.18734901360450595,0.16030681936353036
115,55,37,0.4,0.7555641169778965,0.474224437076825
112,55,37,0.1,0.187616233973307,0.16093621307806702
114,55,37,0.30000000000000004,0.793012086067446,0.5935549195226291
113,55,37,0.2,0.8729955346181066,0.7417976885976437
128,60,30,0.1,0.11813794859596952,0.045358458643295796
117,55,42,0.2,0.7610143361299746,0.6803562642541499
118,55,42,0.30000000000000004,0.7927701914689081,0.6126115916498137
130,60,30,0.30000000000000004,0.80635866032932,0.6174310711812763
116,55,42,0.1,0.18738007181773614,0.16061304451610228
129,60,30,0.2,0.7810237258626512,0.7126672505556674
131,60,30,0.4,0.7456808140228062,0.4271269091240996
119,55,42,0.4,0.7565355266689286,0.5085625512028032
121,55,47,0.2,0.8376567218482968,0.6990044549625161
120,55,47,0.1,0.1872443256756594,0.1605284917334429
122,55,47,0.30000000000000004,0.7737823314601168,0.5950799977357476
133,60,35,0.2,0.7765990372563905,0.7035358172799158
132,60,35,0.1,0.2569025187692981,0.3718448331930971
134,60,35,0.30000000000000004,0.8016363426565006,0.6168988254692819
123,55,47,0.4,0.7563198573195157,0.5452010916493134
125,55,52,0.2,0.7627910745719171,0.6834838010200801
124,55,52,0.1,0.2819873123923502,0.24041783756982463
127,55,52,0.4,0.7608166359298564,0.5655280864476414
126,55,52,0.30000000000000004,0.771282244600824,0.5911708990148136
135,60,35,0.4,0.7753331925840407,0.5329196902040054
138,60,40,0.30000000000000004,0.7842051837097493,0.5946849606515778
137,60,40,0.2,0.7618212573640549,0.6813993993383749
139,60,40,0.4,0.7683561229002045,0.5506768687447896
136,60,40,0.1,0.18738339136730656,0.16058630073023666
141,60,45,0.2,0.8366065714834362,0.6974926349864461
140,60,45,0.1,0.18706850932794802,0.16030796636925718
143,60,45,0.4,0.7561757315200714,0.5451574926275072
152,65,32,0.1,0.30649266442882744,0.15249971766558965
142,60,45,0.30000000000000004,0.7654691814307121,0.5778281961082385
153,65,32,0.2,0.7780159128104793,0.7074783414660397
155,65,32,0.4,0.7703640147704075,0.4967586723010245
154,65,32,0.30000000000000004,0.8054083889606201,0.6153722258847543
144,60,50,0.1,0.1870364857135464,0.1601215911494587
145,60,50,0.2,0.7624913223109063,0.6830126746923106
156,65,37,0.1,0.27190889443611166,0.31171984585897855
158,65,37,0.30000000000000004,0.8336520807285719,0.696791800836748
146,60,50,0.30000000000000004,0.7178843566453561,0.6128816318119471
157,65,37,0.2,0.7770830207430814,0.7047118824489632
147,60,50,0.4,0.694028755907187,0.5438583282586965
149,60,55,0.2,0.7602384375138114,0.6788538277801233
161,65,42,0.2,0.760196311416465,0.6785812876502973
159,65,37,0.4,0.8036450812625965,0.6210952834995742
160,65,42,0.1,0.36309293762254957,0.42206763886619697
150,60,55,0.30000000000000004,0.7085037830711537,0.5883336724384317
162,65,42,0.30000000000000004,0.815282673455305,0.6680689813754024
163,65,42,0.4,0.783530586220079,0.5951174111726957
148,60,55,0.1,0.18655050888105656,0.15973382163197883
151,60,55,0.4,0.6912828015263033,0.5404490953221973
165,65,47,0.2,0.7626263779234903,0.6834333507078614
166,65,47,0.30000000000000004,0.781306996198739,0.6147653824553189
164,65,47,0.1,0.2651150143135421,0.33507292774805325
167,65,47,0.4,0.7662630802799099,0.5774121767034269
169,65,52,0.2,0.7607239269444243,0.6795830070581432
181,70,35,0.2,0.7760172659622054,0.7027146941283795
168,65,52,0.1,0.2646143313919518,0.334686305037062
180,70,35,0.1,0.28323756606807476,0.2249828476392639
170,65,52,0.30000000000000004,0.7867454624593245,0.6258122314886758
182,70,35,0.30000000000000004,0.80946924064066,0.6395318663766074
171,65,52,0.4,0.7638228549116889,0.5742205690361035
172,65,57,0.1,0.26395332072425404,0.3338262654035235
183,70,35,0.4,0.8027251733472408,0.6197849887270286
173,65,57,0.2,0.7593596291190584,0.6767956392374798
175,65,57,0.4,0.6994892624452702,0.5696618607486619
174,65,57,0.30000000000000004,0.7230892790665373,0.6222753387232847
185,70,40,0.2,0.7618855341711728,0.6812856267146397
186,70,40,0.30000000000000004,0.8072652940659445,0.6370619286360522
184,70,40,0.1,0.35749366125913895,0.4401308595850614
178,65,62,0.30000000000000004,0.6986992139794788,0.6043141045911112
176,65,62,0.1,0.18618973392370144,0.1593771646546014
177,65,62,0.2,0.7449589323462485,0.6543818201423046
187,70,40,0.4,0.79444498405937,0.6163376335391051
189,70,45,0.2,0.6582557699395079,0.6239561858946389
179,65,62,0.4,0.6780441745050785,0.5708315608261938
188,70,45,0.1,0.1736364945560284,0.22715371963324857
190,70,45,0.30000000000000004,0.7858989546851728,0.61479330487875
191,70,45,0.4,0.777427013234462,0.5988571513004798
192,70,50,0.1,0.11739710391638669,0.045172671061836846
193,70,50,0.2,0.661749613286733,0.6298321747487149
194,70,50,0.30000000000000004,0.7883582921330321,0.62776223288117
208,75,37,0.1,0.25658668251601535,0.371560124540507
209,75,37,0.2,0.6722054398822339,0.6541203348822867
195,70,50,0.4,0.7800172531677035,0.6129897233078083
210,75,37,0.30000000000000004,0.8208714232529235,0.6597877760332945
197,70,55,0.2,0.6600521856705225,0.6269195117286496
196,70,55,0.1,0.18653365415826054,0.15963029738791198
199,70,55,0.4,0.770305648248735,0.5885922922754382
211,75,37,0.4,0.8084272190319763,0.6395128634759379
198,70,55,0.30000000000000004,0.7859243250916865,0.6239777670834219
200,70,60,0.1,0.1863333042484225,0.1594943792523116
202,70,60,0.30000000000000004,0.6993643107762217,0.6050986144088705
201,70,60,0.2,0.6587131001768863,0.6244449299147492
212,75,42,0.1,0.2561012099513713,0.36926932213918023
213,75,42,0.2,0.7595699094944627,0.6770920023359789
203,70,60,0.4,0.6912362177659415,0.5955352500408789
204,70,65,0.1,0.18583695043897702,0.15909284241887595
214,75,42,0.30000000000000004,0.8033565287158675,0.6318690846927884
215,75,42,0.4,0.7905427794359733,0.6120230908947969
206,70,65,0.30000000000000004,0.6973715827275694,0.6015953617298302
205,70,65,0.2,0.656247171248823,0.6201443024296938
217,75,47,0.2,0.6622807358071583,0.630977445926636
216,75,47,0.1,0.18697944014890502,0.16017232325388892
207,70,65,0.4,0.6894021965547796,0.5924323053159167
218,75,47,0.30000000000000004,0.788208537791231,0.6277946789895763
219,75,47,0.4,0.7800139757232495,0.6131291778621271
221,75,52,0.2,0.6604803579144384,0.6275060826760477
220,75,52,0.1,0.18674415768883415,0.1600011225184615
222,75,52,0.30000000000000004,0.7850024650373343,0.6234517556296768
223,75,52,0.4,0.7768523780558753,0.609016292446771
226,75,57,0.30000000000000004,0.7225240897710336,0.6202055782349869
224,75,57,0.1,0.18654202535262884,0.15959231842033683
225,75,57,0.2,0.6591748066962665,0.6250207974309823
228,75,62,0.1,0.186188831449394,0.15936654240022233
230,75,62,0.30000000000000004,0.6986836392710376,0.6032540473019108
229,75,62,0.2,0.6578539633759816,0.6225640267685424
227,75,57,0.4,0.707210348484467,0.5853834478157676
231,75,62,0.4,0.6906195086688506,0.5937100921799036
242,80,40,0.30000000000000004,0.7227748578700466,0.6237430940928655
232,75,67,0.1,0.2818709551975933,0.23304187710376237
240,80,40,0.1,0.3569734323308596,0.4388082354098597
243,80,40,0.4,0.7963584090777474,0.6241950572468989
241,80,40,0.2,0.6796220993801603,0.6546111642806071
234,75,67,0.30000000000000004,0.7190565136889464,0.6184640594751146
233,75,67,0.2,0.6551445506334841,0.6180190966374964
244,80,45,0.1,0.25573559342611013,0.3685459345100652
247,80,45,0.4,0.773812478615784,0.5839511403465867
245,80,45,0.2,0.6767663173706924,0.6489354206328848
235,75,67,0.4,0.6962507858434347,0.5998297860731229
246,80,45,0.30000000000000004,0.794999277477632,0.6379760220387456
249,80,50,0.2,0.6749538163111217,0.645001294624232
248,80,50,0.1,0.1868828354983799,0.15988208429696624
250,80,50,0.30000000000000004,0.7921145722090929,0.6339677157979758
237,75,72,0.2,0.6531263037466747,0.6142157840536147
236,75,72,0.1,0.28164715306724575,0.23280473632536858
251,80,50,0.4,0.7849935804402888,0.6188007798341769
239,75,72,0.4,0.6991151155139235,0.5997651142089985
238,75,72,0.30000000000000004,0.721966718350803,0.6176423514619858
252,80,55,0.1,0.18642155918813738,0.15961931521364686
256,80,60,0.1,0.25451751143875256,0.36425192608136997
255,80,55,0.4,0.7211311138456845,0.6136015805797166
257,80,60,0.2,0.6594021921250006,0.6145998456970998
254,80,55,0.30000000000000004,0.7515890182138907,0.660064661056995
258,80,60,0.30000000000000004,0.7029434057280577,0.6101287774160126
253,80,55,0.2,0.6723812128301908,0.6405562411643654
259,80,60,0.4,0.6833056609806999,0.5766849600142944
260,80,65,0.1,0.18582904820140733,0.15907378295054933
261,80,65,0.2,0.6575929495627253,0.6109086818176775
272,85,42,0.1,0.25583944861819957,0.36850293056350847
262,80,65,0.30000000000000004,0.7004231801085608,0.6057630803693224
273,85,42,0.2,0.7495035818993013,0.6589836011881824
263,80,65,0.4,0.680993388084717,0.57296011962416
274,85,42,0.30000000000000004,0.7959524600458635,0.6395861144185818
275,85,42,0.4,0.7719195701602678,0.5848773554578128
264,80,70,0.1,0.28172220044127355,0.23309633955704662
278,85,47,0.30000000000000004,0.792760730370935,0.6347719278655755
266,80,70,0.30000000000000004,0.7263053718298272,0.6243951985872667
276,85,47,0.1,0.1866819570330489,0.16013336703123296
265,80,70,0.2,0.6559249321221244,0.6079891355446495
277,85,47,0.2,0.6753661405076087,0.6457649618262946
279,85,47,0.4,0.7693836350915101,0.5811627623654292
267,80,70,0.4,0.6964475624260337,0.5972723912190888
268,80,75,0.1,0.3774862323197206,0.3268551349033415
269,80,75,0.2,0.5730827593124369,0.5586397835973118
280,85,52,0.1,0.18654407181751692,0.1599680768274988
281,85,52,0.2,0.6729519859122514,0.6409867570881477
270,80,75,0.30000000000000004,0.6376664904571068,0.5786841249581982
271,80,75,0.4,0.6991608147520252,0.5987622793966582
283,85,52,0.4,0.7219179062194614,0.6143250021753731
282,85,52,0.30000000000000004,0.7291666153405224,0.6294627751661054
284,85,57,0.1,0.2817531293536669,0.23961027094866627
285,85,57,0.2,0.718629425449485,0.6131370169995566
286,85,57,0.30000000000000004,0.7269391126628714,0.6258875223940412
287,85,57,0.4,0.7075346180545494,0.5795787267436961
288,85,62,0.1,0.28115572687773466,0.23881457421135474
291,85,62,0.4,0.6821281062887928,0.5739810005525363
290,85,62,0.30000000000000004,0.7015215817205384,0.6065701930240639
289,85,62,0.2,0.6578127734085171,0.6110243707299388
